candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,score,raw_score,passes_constraints,constraint_reason,run_dir
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,1,20260613-220713_candidate_phase2_b5_learning_trial1_pcitc_6b59905f,pcitc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,99.826,5945,7069,5945,75768,131,1,140,14.067,38.96929999999999,38.96929999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220713_candidate_phase2_b5_learning_trial1_pcitc_6b59905f
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,2,20260613-220722_candidate_phase2_b5_learning_trial2_pcitc_cc96d23a,pcitc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,140,14.017,38.9843,38.9843,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220722_candidate_phase2_b5_learning_trial2_pcitc_cc96d23a
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,3,20260613-220730_candidate_phase2_b5_learning_trial3_pcitc_e50848a5,pcitc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,140,13.783,39.00769999999999,39.00769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220730_candidate_phase2_b5_learning_trial3_pcitc_e50848a5
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,1,20260613-220739_candidate_phase2_b5_learning_trial1_destc_dfe91d95,destc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,100.0,350,477,350,295215,0,0,1,26.3,93.87,93.87,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220739_candidate_phase2_b5_learning_trial1_destc_dfe91d95
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,2,20260613-220754_candidate_phase2_b5_learning_trial2_destc_55f570d2,destc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,100.0,347,477,347,295215,0,0,1,26.167,93.9133,93.9133,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220754_candidate_phase2_b5_learning_trial2_destc_55f570d2
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,3,20260613-220810_candidate_phase2_b5_learning_trial3_destc_29dfba42,destc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,100.0,349,477,349,295215,0,0,1,25.583,93.9517,93.9517,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220810_candidate_phase2_b5_learning_trial3_destc_29dfba42
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,1,20260613-220826_candidate_phase2_b5_learning_trial1_DMAtc_09dd99ed,DMAtc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,94.562,10723,12557,10723,77788,2070,2160,37421,42.45,-16.913000000000007,-16.913000000000007,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220826_candidate_phase2_b5_learning_trial1_DMAtc_09dd99ed
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,2,20260613-220851_candidate_phase2_b5_learning_trial2_DMAtc_5278886e,DMAtc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,94.562,10725,12557,10725,77788,2070,2160,37421,41.85,-16.873000000000005,-16.873000000000005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220851_candidate_phase2_b5_learning_trial2_DMAtc_5278886e
phase2_b5_learning,llm,phase2_b10 and static_learning both preserved coverage and improved score; try a smaller phase-2 limit with learning to reduce runtime while keeping the useful search behavior.,3,20260613-220916_candidate_phase2_b5_learning_trial3_DMAtc_0f37f619,DMAtc.bench,"[""-B"", ""5"", ""-L""]",0,True,False,,94.562,10724,12557,10724,77788,2070,2160,37421,43.817,-17.059700000000014,-17.059700000000014,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220916_candidate_phase2_b5_learning_trial3_DMAtc_0f37f619
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",1,20260613-220943_candidate_compaction_c1_learning_trial1_pcitc_c451fdca,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,134,14.033,38.99269999999999,38.99269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220943_candidate_compaction_c1_learning_trial1_pcitc_c451fdca
